[0:00:12] ちくお: っわこらだ
[0:01:06] tumetai_kokoa: わこらだおめ
[0:01:06] aonohito0901: radaoOme radaoOme radaoOme radaoOme
[0:01:06] uta_0713: わこらだ
[0:01:07] haru_anura: わこらだ
[0:01:07] shige__maru: おめー！
[0:01:07] koronn1101: わこらだおめ
[0:01:07] のいたぬ: 20
[0:01:07] オクタ: わこらだー
[0:01:07] きすみさん: radaoOme radaoOme radaoOme
[0:01:07] mmoonneeoo: わこらだおめ〜 radaoOme
[0:01:08] ドロッと食感: wあこらだ、おめ
[0:01:08] neu_rose: わこらだ
[0:01:08] goodfriends02: おめでと
[0:01:08] poncho_popo: わこらだ
[0:01:09] 伊丙カオル: おめ～!
[0:01:09] ta_tago: わこらだ
[0:01:09] carbonara10: わこらだ radaoWakotu
[0:01:10] UnDerxbAr: おめでとー！
[0:01:10] chai_latte3: おめでとー！！
[0:01:10] ruan_mt9: radaoWakotu
[0:01:10] 8lcaaa: 20万人おめでとう👏🏻👏🏻🤍
[0:01:11] peroki0531: 20万おめ！！
[0:01:11] ioo89: わこらだ
[0:01:11] rokunome: おめらだー
[0:01:11] ta_tago: おめー
[0:01:11] kashiwa_ppz: わこらだ
[0:01:11] 鉄火巻: わこらだー
[0:01:12] オクタ: おめー
[0:01:12] sumeshi0213: 888888
[0:01:12] r1n_t: radaoOme radaoOme radaoOme
[0:01:12] mikan_san: 良いねぇその姿勢
[0:01:12] syuga__: わこらだ
[0:01:12] ここねり: 20万人おめ radaoOme radaoOme radaoOme radaoOme
[0:01:12] zarameamaine: わこらだ！
[0:01:12] えむえみ: わこらだ
[0:01:12] hururun86: わこらだー
[0:01:12] suuran0831: わこらだ
[0:01:12] ポテチの子: わこらだおめ！
[0:01:13] siki_p: わこらだ
[0:01:13] Oyu3255: おめ！
[0:01:13] setuna_0202_sesenana: わこらだ
[0:01:13] ten_nen_sui_: わこらだ！おめでとー！
[0:01:13] スカイウリ: わこらだ
[0:01:14] karasudayou: わこらだ おめでとう
[0:01:14] らーな: わこらだ
[0:01:14] どくつる: わこらだ
[0:01:14] くまちこ: わこらだ
[0:01:14] cozu_0325: おめ！！！
[0:01:14] kuroro0705: おめ
[0:01:14] suuran0831: おめ
[0:01:14] べクター: わこらだ、あめでとー
[0:01:15] くろざき: わこらだ
[0:01:16] mokkii11: わこらだおめ！
[0:01:16] みるくるぴるくる: わこらだー！
[0:01:16] lara_3o: わこらだ radaoWakotu
[0:01:16] muiii_61: おめ！！！
[0:01:16] kashiwa_ppz: おめ
[0:01:16] ioo89: おめでとうございます！
[0:01:16] 暇な爆弾魔: わこらだ
[0:01:16] kuirid: 次は30マンだね！
[0:01:16] のいたぬ: 20万人おめでと
[0:01:16] setuna_0202_sesenana: おめ！
[0:01:16] kuuhaku417: わこらだおめ！
[0:01:17] しおた_00: わこらだ
[0:01:17] すいぺりあ: ria_y extended their Tier 1 subscription through July! 
[0:01:17] zyagaimo__: おめー radaoOme radaoOme
[0:01:17] fuucyann: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:17] rekuron379: わこらだおめー！
[0:01:18] shachi_taroo: わこらだ
[0:01:18] nonomini_h: radaoWakotu radaoOme
[0:01:18] PEI_OwO_: わこらだ
[0:01:18] narunaru0322: radaoOme radaoOme
[0:01:18] ruan_mt9: radaoOme radaoOme
[0:01:18] uta_0713: 20万人おめ！！！
[0:01:19] yura__f: おめでとう
[0:01:19] ponharu: わこらだ
[0:01:19] nerg71: おめー
[0:01:19] ﾓﾃﾝ: おめー！！！
[0:01:20] 天然水の水: radaoEhehe radaoEhehe radaoEhehe
[0:01:20] そらいろえのぐ: radaoOme radaoOme radaoOme
[0:01:20] mope716: radaoOme radaoOme radaoOme radaoOme
[0:01:20] ひじき100: わこらだ おめでとう
[0:01:20] ﾆｲ: わこらだおめ
[0:01:20] ayunosioyaki0223: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:20] sigma0615: わこらだ
[0:01:20] oootyao: わこらだ
[0:01:21] hokahokatakoyaki: おめ！
[0:01:21] sorararara246: わこらだー
[0:01:21] uta_0713: radaoOme radaoOme radaoOme radaoOme
[0:01:21] poteito: わこらだ
[0:01:21] netaiyo: わこらだおめ！
[0:01:21] zomukyo_i: ww
[0:01:22] runa_xx1023: おめでと！！ radaoOme radaoOme radaoOme
[0:01:22] どくつる: radaoOme radaoOme
[0:01:22] 天然水の水: radaoOme radaoOme radaoOme radaoOme
[0:01:22] ioo89: radaoOme radaoOme radaoOme radaoOme
[0:01:22] PEI_OwO_: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:22] yuk_iha_d_esu: 今日は雑談だけ？
[0:01:22] すいぺりあ: radaoOme radaoOme radaoOme radaoOme
[0:01:22] ルロア: わこらだ
[0:01:23] yua0027: わこらだ！
[0:01:23] くろざき: おめでとう！
[0:01:23] らーな: おめ！！
[0:01:23] yukkin_rarara: わこらだおめでとー！
[0:01:24] hisuzuran_: おめでとう
[0:01:24] atuono: いいね
[0:01:24] ioo89: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:24] miri8685: おめ！
[0:01:24] きるちゃ: わこらだ
[0:01:24] マカライト: わこらだおめでとう
[0:01:24] carbonara10: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:24] こまし: おめでてーーー
[0:01:25] oootyao: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:25] pochi_po: わこらだおめでとう！！！
[0:01:25] かりんりんだよぅ: な
[0:01:25] いんてるいんてる: いつもの
[0:01:25] hururun86: 20万人おめでとー！
[0:01:26] shi_o: わこらだ
[0:01:26] fukumegane: わこらだ
[0:01:26] 暇な爆弾魔: radaoOme radaoOme radaoOme radaoOme
[0:01:26] ゆう77: わこらだ radaoWakotu
[0:01:27] poigzunn: わこらだ
[0:01:27] きるちゃ: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:27] r0_0Ru_ruru: おめでとーー
[0:01:27] PEI_OwO_: おめでとう！！！！！
[0:01:27] lara_3o: 20万人おめ radaoOme radaoOme radaoOme
[0:01:28] ioo89: radaoOme radaoOme radaoOme radaoOme
[0:01:28] runa_xx1023: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:28] るきち: おめでとう radaoOme radaoOme radaoOme
[0:01:28] picari_: わこらだ20万人おめ
[0:01:28] ミヤチ: radaoOme radaoOme radaoOme radaoOme
[0:01:28] もじゅべ: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:29] mira_889: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:29] ponharu: おめ
[0:01:29] kuroro0705: さすがだな
[0:01:29] よわはと: radaoOme radaoOme radaoOme
[0:01:29] かりんりんだよぅ: エペ見たい
[0:01:30] sai_ironi11: わこらだ～！
[0:01:30] yuki_snowdrop: わこらだ
[0:01:30] harayukisachiko: haraharayuki subscribed at Tier 1. They've subscribed for 19 months! 20万人おめ！
[0:01:30] ばけつもんすたー: わこらだ
[0:01:30] poncho_popo: 20万おめだー
[0:01:31] mikankan693: おめでとう！！！！！！
[0:01:31] ネコねこ: radaoOme radaoOme radaoOme
[0:01:31] goodfriends02: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:31] chiwa_0227: ないすだ
[0:01:32] enpt___qmq: radaoOme radaoOme radaoOme radaoOme
[0:01:32] runa_xx1023: radaoOme radaoOme radaoOme
[0:01:32] いちざら: おめでとう！
[0:01:32] りなちｬ: おめ
[0:01:33] ばけつもんすたー: おめ！
[0:01:33] えびとまと: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:33] みるくるぴるくる: ホラーやってほしいw
[0:01:33] bamubamu_baamu: おめでとー
[0:01:33] あらんえむかーびぃ: 20万人ぽめ！！ radaoOme radaoOme
[0:01:33] えにー: おめ
[0:01:33] syokka_kazuho: わこらだおめでとう！
[0:01:33] milkcocoa821: わこらだ～おめ！！
[0:01:34] sai_ironi11: おめでとう！
[0:01:34] もふ_00: radaoOme radaoOme radaoOme radaoOme
[0:01:34] ゆう77: おめでとう radaoOme radaoOme
[0:01:34] たか野: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:34] kainn_1114: おめ！
[0:01:35] riin_2020: 20万人おめー！
[0:01:35] riririnn0701: わこらだおめでとー
[0:01:35] えびとまと: めでてえ
[0:01:36] yukkin_rarara: yukkin_rarara subscribed at Tier 3. They've subscribed for 15 months! おめでとうございます！！
[0:01:36] mira_889: わこらだ radaoWakotu
[0:01:36] shi_o: おめでとう radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:36] yoiko_chan: ワコラダ
[0:01:36] runa_xx1023: radaoOme radaoOme
[0:01:36] mikuru_minto75: radaoOme radaoOme radaoOme
[0:01:38] 緑髪りょくがみ: おめでとうございます🍾
[0:01:38] れもんじる: radaoWakotu radaoOme
[0:01:38] もすちょこ: わこらだ
[0:01:39] hi_oyu: radaoPikon radaoPikon radaoPikon radaoPikon
[0:01:39] runa_xx1023: radaoOme
[0:01:39] 梨一: わこらだ
[0:01:39] たか野: おめ
[0:01:39] jyuna0312: radaoOme radaoOme radaoOme
[0:01:40] miki___24: わこらだ
[0:01:40] にちゃん: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:40] fuwaru_4128: わこらだおめでと radaoOme radaoOme radaoOme radaoOme
[0:01:41] kohakuuu1123: わこらだ
[0:01:41] zane417: わこらだおめ
[0:01:41] yua0027: おめでとうございます！
[0:01:41] みみと: radaoOme radaoOme radaoOme radaoOme
[0:01:41] amy31077: radaoPikon radaoPikon
[0:01:42] saki_kagura28: わこらだ！
[0:01:42] Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[0:01:42] アオブル: わこらだおめでとう
[0:01:42] すぃま: わこらだ
[0:01:42] runa_xx1023: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:42] 藤之助: 今来たわこらだ20万人おめぇぇぇぇ radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:42] pelex_dayo: radaoPikon radaoPikon radaoPikon
[0:01:43] sumeshi0213: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:43] tsukiha_10: わこらだ
[0:01:44] みみと: radaoPikon radaoPikon radaoPikon radaoPikon
[0:01:44] nomal527: radaoOme radaoOme radaoOme
[0:01:44] zomukyo_i: ふうーにすごい
[0:01:45] huku_mm0v0: 今北わこらだ
[0:01:45] おうじ_28: わこらだ
[0:01:45] まなえ: わこらだ
[0:01:45] みきな: わこらだ
[0:01:45] すいぺりあ: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:46] kino_35: わこらだーおめでとう！
[0:01:46] atuono: でっかくなったね
[0:01:46] pu_tyan: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:46] mimitabu_92: おめでとう
[0:01:46] 角角家: シャワー中じゃw
[0:01:47] chibimame_: おめ
[0:01:47] 4waiyo: わこらだ
[0:01:48] blaze9710: おめでとう！！！
[0:01:48] もすちょこ: 改めておめでとう！！！
[0:01:48] rz_rilu: わこらだ〜おめでと
[0:01:49] yu_urarua_oO: らだおめ！！
[0:01:49] PEI_OwO_: めでたい radaoOme radaoOme radaoOme radaoOme
[0:01:50] すぃま: radaoOme radaoOme radaoOme
[0:01:50] neko_moti: おめ
[0:01:50] moimo_moi: radaoOme radaoOme radaoOme
[0:01:50] こまし: 地元の人口じゃん
[0:01:51] haluto0225: radaoOme radaoOme radaoOme
[0:01:52] am4kumo: oudon extended their Tier 1 subscription through July! 
[0:01:52] みるくるぴるくる: すごー！
[0:01:52] miki___24: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:52] みつおうぎ: わこらだ
[0:01:52] sumeshi0213: radaoKansya radaoKansya
[0:01:53] がっちょ: おめでとう
[0:01:53] ゆきとよ: ゆきとよ subscribed at Tier 1. They've subscribed for 7 months! わこらだおめでとう～
[0:01:53] tokotto: わこらだめでたい
[0:01:53] masa0763: おめ
[0:01:53] mikan_san: 20万人って何万人だよ…
[0:01:53] aina___10812: わこらだ！おめでとう！！
[0:01:53] ponzuneko2: 20万人おめ
[0:01:54] rm__chan: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:01:54] amy31077: おめでと～
[0:01:55] arasin2157: わこらだ
[0:01:55] おじょーー: わこらだ radaoOme radaoOme radaoOme
[0:01:55] とらい_27: わこらだ
[0:01:55] akauoooo: おめでとうございます㊗️🎉アペやろ！
[0:01:55] nasino_123: nasino_123 extended their Tier 1 subscription through July! 
[0:01:55] kuirid: 次は30万だね‼︎
[0:01:56] teisupe_ikuto: わこらだ〜
[0:01:56] みみと: わこらだ！おめ！
[0:01:56] 4waiyo: おめでとう！！
[0:01:56] yuki_snowdrop: おめー radaoOme radaoOme
[0:01:58] chai_latte3: すごい
[0:01:58] rinnne_1220: radaoOme radaoOme
[0:01:59] daizu___mame: radaoOme radaoOme radaoOme radaoOme
[0:01:59] ta_tago: radaoOme radaoOme radaoOme
[0:02:00] ツキミコ: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:01] haru_anura: おめー
[0:02:01] mucha_1018: わこらだ
[0:02:01] すいぺりあ: ついっちで20万はすごいよ
[0:02:01] kelutan_1128: わこらだおめー
[0:02:02] もか2680: radaoOme radaoOme radaoOme
[0:02:02] sai_ironi11: YouTubeの1/3よりちょっと上くらい？
[0:02:02] おいしいりんご: わこらだ radaoWakotu radaoWakotu
[0:02:03] rila26: おめでとう！！！
[0:02:03] takutaku25252: つべ勢だけどおめ
[0:02:03] arasin2157: radaoOme radaoOme radaoOme radaoOme
[0:02:04] らずらむ: radaoWakotu radaoOme radaoOme
[0:02:04] dokokara_dokomade: radaoOme
[0:02:04] kinusaya38: わこらだ
[0:02:04] ミヤチ: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:05] みるくるぴるくる: 20万人だよw
[0:02:05] おうへろ: わこらだ
[0:02:05] いんてるいんてる: 戦争起こせる
[0:02:05] rioniku1515: これが本当の視聴者数…あっ
[0:02:06] karako2070: わこらだ
[0:02:06] netaiyo: radaoOme radaoOme radaoOme radaoOme
[0:02:07] neu_rose: すごいやーん
[0:02:07] yuna_aaaaaaaaa: おめ！
[0:02:08] nasino_123: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:08] rrr_rion__04: わこらだ
[0:02:09] runa_xx1023: やっぱさすがらっだぁだよ！！
[0:02:09] huku_mm0v0: 20万はやばいね
[0:02:09] mifwa39: わこらだ
[0:02:09] neu_rose: radaoOme radaoOme radaoOme radaoOme
[0:02:09] kinari_iro_: わこらだ。おめ！
[0:02:10] にちゃん: 20万おめでたい radaoOme
[0:02:10] あおは_: わこらだ
[0:02:10] otux2_0205: わこらだ
[0:02:10] hotaru3301: わこらだ
[0:02:10] yukinakomochi: わこらだ
[0:02:11] かりんりんだよぅ: やたー！
[0:02:11] せあくん: radaoOme radaoOme radaoOme
[0:02:12] radodo26: 100万人おめでとう！
[0:02:12] hatiti88: わこらだおめ
[0:02:12] tyasiki_02: わこらだ
[0:02:13] karako2070: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:13] hi_oyu: 20万人って何万人だよ
[0:02:13] dokokara_dokomade: わこらだ オメーー
[0:02:13] のゐ: わこらだ！おめでとう！！！！！！！！！
[0:02:14] rioniku1515: radaoNice radaoNice radaoNice radaoNice
[0:02:14] 枯木です: わこらだおめでとう🎉🎉
[0:02:14] rrr_rion__04: おめでとう
[0:02:14] karako2070: radaoOme radaoOme radaoOme
[0:02:15] ふれーく: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:15] nakanokun_chan: わこらだー！
[0:02:15] amaebi____: おめ
[0:02:16] sakasa_n: わこらだ
[0:02:17] tsukiha_10: おめでと！
[0:02:18] もぎ: わこらだ
[0:02:18] komasannsann: わこらだおめ
[0:02:18] rin_0505: おめー
[0:02:18] takeru1104: おめでとう🎉🎉🎉
[0:02:18] hotaru3301: おめ
[0:02:19] わかめご飯: すごい！
[0:02:19] こぺと: わこらだ
[0:02:19] mikan_san: あ
[0:02:20] rioniku1515: radaoOme radaoOme radaoOme radaoOme radaoYatta radaoYatta radaoYatta radaoYatta radaoYatta
[0:02:20] 114iMUSE: おめでとう
[0:02:22] shachi_taroo: radaoOme radaoOme radaoOme radaoOme
[0:02:22] akai_nea: わこらだ
[0:02:22] hairuru_: わこらだーー
[0:02:23] am4kumo: radaoOme radaoPikon2 radaoOme radaoPikon2 radaoOme radaoPikon2
[0:02:23] ruu_ha: わこらだ
[0:02:23] hoozuki05: わこらだ
[0:02:23] nakanokun_chan: おめでとーう！！！！
[0:02:23] はむおくん: わこらだ大手ツイッチ配信者だね
[0:02:23] mifwa39: おめでと👏🏻🤍
[0:02:24] mimi_fuwa1489: わこらだ
[0:02:24] こぺと: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:24] rila26: 20万人はすげぇ！！
[0:02:24] pelex_dayo: 普通にすげー
[0:02:24] tyasiki_02: おめでとー
[0:02:24] midmid803: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:25] kakeru_829: おめっと！
[0:02:25] もすちょこ: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:25] runa_xx1023: 私は見る
[0:02:26] するとば: radaoOme radaoOme radaoOme
[0:02:27] ta_tago: radaoYatta radaoYatta radaoYatta
[0:02:27] ふれーく: 1600人
[0:02:28] もすちょこ: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:28] kazeto0261: わこらだ
[0:02:28] えびとまと: 地元の人数の3倍で草
[0:02:28] mimi_fuwa1489: おめでとう！
[0:02:29] sakasa_n: 20万ってすごいよなぁ
[0:02:29] runa_xx1023: radaoOme radaoOme radaoOme
[0:02:30] はなきち: わこらだ
[0:02:30] もすちょこ: radaoOme radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:30] m915_r: わこらだ
[0:02:32] 谷井: おめでとうございます radaoOme radaoOme
[0:02:32] ame_ume: わこらだ
[0:02:32] PEI_OwO_: 普通にすごいじゃん！
[0:02:32] winwindows01: わこらだ おめでとう
[0:02:32] rin7331: わこらだ20万おめ
[0:02:32] kohakuuu1123: おめでとう！！！！
[0:02:32] uta_0713: radaoOme radaoOme radaoOme radaoOme radaoOme
[0:02:33] ドロッと食感: 重要なのはアクティブ数
[0:02:33] おじょーー: radaoOme radaoOme radaoOme radaoEhehe
[0:02:33] torikera0124: わこらふぁ
[0:02:33] daizu___mame: 少なくとも毎回5000人以上は見てくれてるよ
[0:02:34] kazeto0261: おめでとう！
[0:02:35] 光龍: わこらだ
[0:02:35] そぉらぁ: わこらだ
[0:02:35] にゃんねね: わこらだ
[0:02:35] ろみ_63: わこらだ
[0:02:35] mikan_san: まぁそれはそう
[0:02:37] anzu_eichi: わこらだ
[0:02:37] 太陽3: いやあ凄い
[0:02:37] ponpoko_no_pon: おめ！
[0:02:37] blue_tooth33: おめでとおおおおおおおおおお
[0:02:37] mariaaaaacha: わこらだ
[0:02:38] wasurete_shimae: おめめ
[0:02:38] みつおうぎ: 見ます
[0:02:38] アストモ: わこらだ
[0:02:38] やくとみ: わこらだ
