[0:00:05] むとちゃん: わこら
[0:01:01] ぎんじろう_: わこらだ
[0:01:01] Do25Me: なおったのー？
[0:01:02] fake_mssp: わこらだ
[0:01:03] floatingrass: わこらだ
[0:01:04] heibon_: わこらだ
[0:01:05] obanatti: それな
[0:01:07] スパルタン: 使い方はみどりくんから教わった？
[0:01:07] orange3kp: わこらだ
[0:01:09] 柚子湯: わのらだ
[0:01:11] sumiso000: 🦋
[0:01:11] yozakusa: わこらだ
[0:01:14] aiueoooooonn: おｋ
[0:01:17] obanatti: 聞こえてるよ
[0:01:17] muru1113: 大丈夫
[0:01:18] rejiguru: わこらだ
[0:01:19] haduki_09: おｋ
[0:01:20] VA__LO__: おけ
[0:01:21] unknown8097: わこらだ！
[0:01:23] itonemushi: へーき
[0:01:24] puramaro: わこらだ
[0:01:24] peARl7676: わこらだぁ
[0:01:25] totasu9: なんか今日鼻声じゃない？
[0:01:28] akikangg: いつもより少し小さいかな
[0:01:31] noigel_: わこらだ
[0:01:34] anzuyuuki: わこらだ
[0:01:36] Pankey719: わこらだどうも
[0:01:37] dante56565: デバッグは何回もやってちゃんとしたものにした方がいいやろ
[0:01:37] aya_2525_Spla: わこらだ
[0:01:39] takoyaki_0911: わこらだ
[0:01:40] 0_Shiina: わこらだ
[0:01:44] りざーお: わこらだ
[0:01:45] nikkorikun: 永 遠 の デ バ ッ ク
[0:01:46] sugto: わこらだ
[0:01:48] Aqution: リプ返で遅くなったらっだぁさん
[0:01:51] naacha_3106: テレ東音楽祭みてたのに
[0:01:52] obanatti: なる
[0:01:59] スパルタン: そりゃあ事故ったらマズいわな
[0:02:01] arukuHOMOGODzilla810: 青↑鬼↓
[0:02:03] yotuba0428: わこらだ
[0:02:04] syuguru0913: 今来たわ、わこらだ
[0:02:05] asaoka2016: 今来たこん
[0:02:12] tasuke_: わこらだ
[0:02:17] umashioazi: わこらだ
[0:02:29] Aqution: コラボの抽選っていつ？
[0:02:32] mirumachan: わこらだ
[0:02:35] gomimusi0123: ついさっきお前のホラー脱出見てたんやけど
[0:02:37] yozakusa: 誰とコラボるの？非公開？
[0:02:38] obanatti: 青箱どうなったの？
[0:02:56] nikkorikun: もう9時だぞ7時からやれよ
[0:03:02] sugto: コラボって生放送ある？
[0:03:02] いこまき: わあごめん
[0:03:08] dante56565: あれってメンバーもう決まったん？
[0:03:11] まっちゃくんん: わこらだ
[0:03:17] Annin_toufu: わこらだ
[0:03:17] VA__LO__: 今日は青何だっけ？
[0:03:19] akikangg: コラボってふ◯うはやさん？
[0:03:24] noroshi136: わこらだ
[0:03:26] akikangg: 違うのか
[0:03:37] yozakusa: 〇仕事してないぞ
[0:03:39] nikkorikun: ふ○うはやって初めて聞いた
[0:03:40] heibon_: まじかよ
[0:03:45] tasuke_: 面白いの期待してるわ
[0:04:05] chosuuu: 今外なんだけど(半ギレ
[0:04:16] waiwai705: わこらだ
[0:04:16] pudding1356: わこらだ
[0:04:20] akikangg: でたイージーモードw
[0:04:22] totasu9: おじさん夏用スキンになってて草
[0:04:31] kanae001: わこらだ
[0:04:40] yozakusa: アスタロト叔父ちゃん水着えっちぃ
[0:04:41] unknown8097: 明日テスト・・・
[0:04:44] arukuHOMOGODzilla810: あすたろおじさん水着やん
[0:04:46] yanshi0913: わこらだ今北コン
[0:04:49] yjusn114514: 今来た
[0:04:51] kron583217: わこらだ
[0:04:52] yozakusa: こん
[0:04:57] VA__LO__: アスタロおじさん新しくて草
[0:05:00] yanshi0913: あおぱこ？
[0:05:03] ピサロナイト: 今北こｎ
[0:05:07] mugnum0109new: こん
[0:05:13] muru1113: おい
[0:05:15] muru1113: こん
[0:05:16] Kinakoagepann: わこらだ
[0:05:16] nikkorikun: 無能
[0:05:17] 0_Shiina: 仕込みすんのかよ
[0:05:19] usa051: わこらだー！！！
[0:05:20] arukuHOMOGODzilla810: おい
[0:05:22] VA__LO__: おい
[0:05:23] mirumachan: 無能
[0:05:23] Do25Me: あーあ
[0:05:24] dante56565: お前仕込みもやるのに参加するのかよ
[0:05:25] akikangg: イージーモード前の放送と設定変わってないよね？
[0:05:28] teto_gbf: シコみ？
[0:05:29] mugnum0109new: ぼっちか
[0:05:29] yozakusa: 緑くんの居ないのー
[0:05:30] gomimusi0123: 目の前が真っ暗になった
[0:05:31] yjusn114514: これニコニコやってる？
[0:05:35] usa051: 緑いなくてへいわやな
[0:05:38] Do25Me: 誰もいないのー？
[0:05:40] obanatti: 画面ないよ
[0:05:40] muru1113: もしかしてらっだぁぼっち？
[0:05:42] totasu9: ニコニコやってないんじゃない
[0:05:46] yanshi0913: なんのデバック？
[0:05:48] mgapdu: 最近twitchだけの放送増えたな
[0:05:50] akikangg: 仕込みらっだぁってw
[0:05:52] dante56565: 仕込んでるから暗くしてるんでしょ
[0:06:12] VA__LO__: 歪
[0:06:13] yjusn114514: やってないのか…教えてくれた人ありがとナス！
[0:06:13] nikkorikun: まじ髪
[0:06:15] akikangg: 仕込みらっだぁだと不正する
[0:06:16] ariesusan: こんー
[0:06:24] mugnum0109new: こん
[0:06:28] sakasameb: こん
[0:06:30] yozakusa: 自殺願望
[0:06:32] sugto: らっだぁイージーにすればええやん
[0:06:34] 華礫: わっこつー
[0:06:34] nikkorikun: ただのM
[0:06:50] 0_Shiina: 図書館へGO
[0:06:58] yozakusa: おい
[0:07:03] mugnum0109new: おい
[0:07:08] nikkorikun: まーーーーーた無能
[0:07:11] akikangg: らっだぁ感圧Ban置いてあるとこ知ってるよね
[0:07:13] 空き缶222: 今北 こん
[0:07:19] ruin666_: わこらだ
[0:07:25] akikangg: こん
[0:07:32] muru1113: 感圧BAN
[0:07:41] yozakusa: さすおい
[0:07:45] VA__LO__: さすおい
[0:07:46] kanae001: さすおい
[0:07:51] yjusn114514: さすおい
[0:07:51] 0_Shiina: さすおい
[0:07:52] akikangg: さすおい
[0:07:56] aya_2525_Spla: さすおい
[0:07:56] mugnum0109new: さすおい
[0:08:02] VA__LO__: 青鬼を探して行くスタイル
[0:08:02] yotuba0428: さすおい
[0:08:03] akikangg: お前が鬼やー
[0:08:06] ピサロナイト: 客引きはNG
[0:08:09] muru1113: おい
[0:08:11] mgapdu: あ
[0:08:12] naacha_3106: キャッチ
[0:08:13] あるたー: おい
[0:08:13] akikangg: え
[0:08:16] nikkorikun: おい
[0:08:17] まっちゃくんん: ドネルケバブ屋さん！？
[0:08:20] midorokun: でどうだ
[0:08:25] mgapdu: き、気持ちいんですか？
[0:08:26] syuguru0913: 寄ってかなーい
[0:08:31] yozakusa: 緑くん!?
[0:08:31] nikkorikun: みどりくんちゃんさん！？
[0:08:32] yjusn114514: らっだぁも地下たまには開けないのか？
[0:08:33] akikangg: いやそれ風◯
[0:08:34] yotuba0428: 緑くん！？
[0:08:38] yanshi0913: みどり！？
[0:08:43] 0_Shiina: 開けたの鬼やし
[0:08:44] syuguru0913: みどりん！？
[0:08:47] でどすた: 今北婚
[0:08:50] taguryou0815: どもぉー
[0:08:52] 空き缶222: ミドリクン こん
[0:08:58] muru1113: ほぉ
[0:09:03] midorokun: バグったら放送事故って事で処理しといて
[0:09:03] でどすた: デバック？
[0:09:05] piitan46: 今来た
[0:09:07] nikkorikun: ミドリンはキセキの世代
[0:09:09] まっちゃくんん: トルコアイス屋さんですか？？
[0:09:20] taguryou0815: みどりくんの自信作には期待しないww
[0:09:25] tositosi1011: コマーシャルで見えない
[0:09:26] kizi_c: 残機制になったの？
[0:09:31] syuguru0913: みどりんりん。
[0:09:48] nikkorikun: @neko878787 イージーモードだけそういうやつ
[0:09:50] yozakusa: こっこ
[0:09:56] yjusn114514: ndsでも入れますか？
[0:09:57] muru1113: 簡単
[0:09:57] まっちゃくんん: アスレとは
[0:10:04] kanae001: やさしい
[0:10:10] Tsutaya_gap: ええね
[0:10:11] tositosi1011: こた
[0:10:12] yanshi0913: やさしすぎる
[0:10:13] aya_2525_Spla: 優しい世界
[0:10:15] yozakusa: peでも入れますか？
[0:10:15] VA__LO__: 簡単すぎるだろォォ
[0:10:16] syuguru0913: 幼稚園の遊具みたい。
[0:10:17] mgapdu: 復活するたびに残機あるんですか？
[0:10:17] akikangg: 新しくハードモードつくって死んだら復活なしとかきたらもうらっだぁクリアできないな
[0:10:20] kizi_c: 入れそうなら入っていいの？
[0:10:27] Aqution: コラボの人にイージーつけるん？
[0:10:30] usa051: あスレ放送も楽しかったのになー
[0:10:30] amuru007: なんでイージーモードでやってるん？
[0:10:32] nikkorikun: らっだぁでもギリギリクリアできるな
[0:10:40] mugnum0109new: コラボの人俺分かったかもしれんわ。
[0:10:42] 華礫: イージー以外の人がイージー用のアスレクリアで復活はできないんですよね？
[0:10:48] dailyfuku: ざっこぉ
[0:10:51] mirasu0916: 新企画？
[0:10:53] ピサロナイト: コラボ何時になるん？
[0:10:56] yjusn114514: 難易度低ない？
[0:11:03] taguryou0815: 初見です視聴者さんに優しいと噂の生主さんの配信はここですか？
[0:11:04] tositosi1011: ダルお先輩!? SSSsss
[0:11:05] nikkorikun: これピースフルモードとか出たら透明レベル
[0:11:05] dejitari: わこ今まで人狼見てたわ
[0:11:13] mugnum0109new: いいえ違います
[0:11:34] まっちゃくんん: コラボ楽しみやなぁ
[0:11:40] anzuyuuki: 増えてね
[0:11:41] reollly: これ、30日の試運転？
[0:11:42] りざーお: 増えてる
[0:11:45] ひろりーぬ: 一回多い
[0:11:46] sugto: 一回増えてる
[0:11:49] mgapdu: 一回多い
[0:11:50] はいどろ: SSSsss
[0:11:52] mirasu0916: この企画の説明ほしい。
[0:11:52] aya_2525_Spla: 増えてる
[0:11:59] わ29: 今来たさよなら
[0:12:03] akikangg: ハードモードってあるの？（死んだら復活なしかアスレ難しいとか）
[0:12:03] でどすた: らだおは二度4ぬ
[0:12:06] yozakusa: どんどん増えてく新設設計
[0:12:09] はいどろ: 動画が動かない
[0:12:12] 0_Shiina: 増えてる！増えてる！
[0:12:21] mugnum0109new: ハードイージーモードとは
[0:12:30] nikkorikun: HUETERU?
[0:12:37] ピサロナイト: 死ねば死ぬほど強くなる？
[0:12:38] asaoka2016: 長イージーモード
[0:12:43] totasu9: 動かなかったら画質変えるといいよ
[0:12:44] mgapdu: ポケット叩くと方式かな？
[0:12:46] VA__LO__: 優しい世界
[0:12:48] asaoka2016: 超イージーモード
[0:12:54] nikkorikun: ハイジモードでしょそれ
[0:12:54] Yuu6210_blue: 今きたこんばんは
[0:12:59] mugnum0109new: こん
[0:13:03] yozakusa: 横取り
[0:13:18] ピサロナイト: そこも用検証やな
[0:13:18] VA__LO__: 良くやった
[0:13:28] わ29: それ有能やな
[0:13:30] nikkorikun: ご期待くださいっておかしくね？？
[0:13:32] akikangg: 「らしい」のか
[0:13:45] しまやん: 運営が裏に隠れてて手柄横取りネタ出来なくなるってことか；；；；；
[0:13:49] わ29: 親切設計
[0:13:50] ピサロナイト: こいつバグを仕様にしやがった
[0:13:50] totasu9: 超接待設計
[0:14:07] ruche51: 今北こん
[0:14:11] asaoka2016: イージーMOD
[0:14:12] mugnum0109new: こん
[0:14:12] akikangg: お前には無理や
[0:14:12] ariesusan: こん
[0:14:13] 0_Shiina: こん
[0:14:16] Yuu6210_blue: こん
[0:14:23] ポフロン: こん
[0:14:25] VA__LO__: 割れ特有
[0:14:26] reollly: こん
[0:14:26] わ29: 聞こえるよ
[0:14:38] asaoka2016: これで脱出出来なかったら青鬼引退な
[0:14:45] midorokun: てめーが感厚板音消せっつったんだぞｳﾞｫｲ
[0:14:46] yozakusa: 草
[0:14:47] 0_Shiina: はい
[0:14:48] VA__LO__: はい
[0:14:50] mugnum0109new: ざっこぉ
[0:14:51] akikangg: はい
[0:14:51] yanshi0913: はい
[0:14:51] meruizu: はい
[0:14:52] ピサロナイト: はい
[0:14:52] tositosi1011: 聞こえん
[0:14:53] sugto: はい
[0:14:54] akikangg: はい⤴︎
[0:14:55] arukuHOMOGODzilla810: 草
[0:14:56] ピサロナイト: 聞こえないですね
[0:14:57] Yuu6210_blue: 草
[0:14:57] わ29: ミドリ君怒ってるぞ
[0:14:59] nikkorikun: gm
[0:14:59] haduki_09: 草
[0:15:01] yjusn114514: アンダーテール面白そうだかららっだぁさんにもやってほしい…
[0:15:02] unknown8097: へったぁ
[0:15:06] yotuba0428: 草
[0:15:09] yozakusa: みど怒
[0:15:11] わ29: だめ
[0:15:12] muru1113: うん
[0:15:12] まっちゃくんん: ？・。・？
[0:15:12] スパルタン: は？
[0:15:13] ピサロナイト: 当たり前だのクラッカー
[0:15:13] 梨一: だめ
[0:15:13] totasu9: だめ
[0:15:14] anzuyuuki: うん
[0:15:14] nikkorikun: 不正
[0:15:14] syuguru0913: 当たり前やろ？
[0:15:14] 0_Shiina: 怒る
[0:15:14] haduki_09: 怒る
[0:15:14] yozakusa: 怒る
[0:15:15] VA__LO__: それはダメ
[0:15:15] aya_2525_Spla: うん
[0:15:15] akikangg: うん
[0:15:15] meruizu: だめ
[0:15:16] fake_mssp: 起こる
[0:15:16] tarutaru210: だめ
[0:15:16] arukuHOMOGODzilla810: だめ
[0:15:17] yanshi0913: 不正
[0:15:17] amuru007: 怒る
[0:15:17] tositosi1011: うん(￣∇￣*)ゞ
[0:15:17] まみゃ: げきおこマウンテンやぞ
[0:15:18] noroshi136: うん
[0:15:18] 空き缶222: 怒るさ
[0:15:19] yjusn114514: 怒る
[0:15:21] akikangg: そりゃそうだろ
[0:15:21] mirumachan: 激おこプンプンまるだぞ
[0:15:22] teto_gbf: 怒るどころか穀す
[0:15:22] nikkorikun: 不正不正不正不正不正不正不正不正不正不正不正不正不正不正不正
[0:15:22] でどすた: ブチギレマンモス
[0:15:23] arukuHOMOGODzilla810: それは無い
[0:15:23] はいどろ: 怒る
[0:15:25] asaoka2016: 激おこプンプン丸さん
[0:15:28] mugnum0109new: えへ穀
[0:15:28] 空き缶222: えへ穀
[0:15:29] haduki_09: えへ穀
[0:15:30] usa051: えへへ
[0:15:30] sugto: えへ穀
[0:15:30] takoyaki_0911: らっだぁだけHM
[0:15:31] ひろりーぬ: えへ穀
[0:15:31] muru1113: えへ穀
[0:15:33] Yuu6210_blue: えへ穀
[0:15:34] VA__LO__: ぶちおかすみこ
[0:15:34] yozakusa: （╬＾∀＾）〈激おこﾌﾟﾝﾌﾟﾝ丸
[0:15:35] りざーお: 何年青鬼やってるのって言う
[0:15:36] ponpori: 客と一緒でいいの？
[0:15:36] amuru007: えへ穀
[0:15:37] akikangg: 無能やな
[0:15:39] nikkorikun: わあぁ
[0:15:41] naacha_3106: でもコラボでアスレ多いのはあれだよね
[0:15:43] わ29: いいわけねえだろ何年やってんだ
[0:15:50] kizi_c: 正直良いと思うが
[0:15:54] アスかル: 激おこプンプン丸やで
[0:15:55] わ29: だーめ・。・ｖ
[0:15:55] teto_gbf: 恥ずかしくないの？
[0:15:58] kanae001: ダメ
[0:15:59] muru1113: お前は生主だろ
[0:16:01] mugnum0109new: 今の『わぁぁ』がボカロっぽい声やったわ
[0:16:01] yanshi0913: 誰とのコラボ？
[0:16:02] ひろりーぬ: らだは雑談枠
[0:16:03] asaoka2016: 言い訳ねぇだろー
[0:16:03] nikkorikun: お前は生主だからダメ
[0:16:03] totasu9: ほんまおまえそういうとこやぞ
[0:16:06] ピサロナイト: お前は企画主だろ
[0:16:10] kizi_c: 一人だけアスレ動画になっちゃう……
[0:16:11] tositosi1011: お前うんなさすぎ
[0:16:13] syuguru0913: マイクラ界の青鬼が、そんなんでいいのか？
[0:16:14] 5656pandatan: いまきたけどこれって普通の青鬼？
[0:16:14] yozakusa: お前ＶＳ嵐見てこいやちゃんとハンデあるぞ
[0:16:16] rYou1206: 穀すぞ
[0:16:22] usa051: 真面目に脱室しろよ
[0:16:26] akikangg: さっきと同じ5にかたじゃん
[0:16:28] レッドオーブ7: ラッダーはハードコアでもおかしくない
[0:16:31] mirasu0916: らっだぁのかっこいいとこ見てみたい
[0:16:31] しまやん: 名に怒ってんだよ
[0:16:32] ピサロナイト: 5年やっててもこの実力って恥ずかしくないのか
[0:16:33] わ29: 逆キレすんな
[0:16:34] アスかル: アスレ枠でしょ？
[0:16:39] asaoka2016: イージーで脱出出来なかったら青鬼引退しろよ
[0:16:40] mugnum0109new: VS嵐の例え的確すぎて草
[0:16:43] mgapdu: あの時生まれた子が五歳かぁ
[0:16:46] まっちゃくんん: 5年でイージー！？
[0:16:50] dante56565: ５年やっててリスナーに負けてて恥ずかしくないん？
[0:16:51] tositosi1011: 殺ってやんぞこら
[0:17:02] takoyaki_0911: 五年やっててこんなに下手なのか
[0:17:08] yozakusa: 5年やってて青糸クリア回数は
[0:17:08] akikangg: らっだぁ今何歳？5歳？
[0:17:09] kizi_c: ずっと自分のゲームで5年…
[0:17:10] ピサロナイト: はい
[0:17:13] yozakusa: サヨナラ
[0:17:13] 0_Shiina: はい
[0:17:13] レッドオーブ7: さよならー
[0:17:13] ペりー: さよなら
[0:17:13] sugto: はい
[0:17:14] yotuba0428: はい
[0:17:14] mugnum0109new: はい
[0:17:14] muru1113: さよなら
[0:17:15] meruizu: はい
[0:17:15] まっちゃくんん: さよなら
[0:17:15] yanshi0913: はい
[0:17:15] わ29: しってた
[0:17:16] ariesusan: はい
[0:17:16] ひろりーぬ: はい
[0:17:17] ponpori: ノシ
[0:17:18] hacchi_kiki: 今日マジでニコ生してないんだね
[0:17:18] aya_2525_Spla: さよならー
[0:17:18] アスかル: はい
[0:17:19] nikkorikun: 5年で初心者と同じレベルとか末期
[0:17:20] akikangg: はいさよなら
[0:17:21] VA__LO__: はいさよなら〜👋
[0:17:21] kanae001: 五年やってアスレ生主って言われてるのか…
[0:17:23] yjusn114514: だっさぁ
[0:17:24] arukuHOMOGODzilla810: さよなら
[0:17:24] asaoka2016: あの世へさよならー
[0:17:30] 空き缶222: さよなら(あのよ
[0:17:30] mirumachan: さよならー
[0:17:33] tositosi1011: う.うめぇぇぇぇ
[0:17:34] Aqution: おっつぅ
[0:17:40] レッドオーブ7: ラッダーさよならー
[0:17:41] アスかル: goTOheaven
[0:17:44] mirasu0916: さよならっだぁ
[0:17:48] akikangg: これが本当のさよならやで
[0:17:49] kizi_c: 草
[0:17:50] teto_gbf: え
[0:17:50] 空き缶222: え
[0:17:51] まっちゃくんん: えぇ・・・
[0:17:51] muru1113: え
[0:17:51] ariesusan: え
[0:17:51] VA__LO__: 草
[0:17:51] sugto: 草
[0:17:51] meruizu: 草
[0:17:52] ひろりーぬ: え
[0:17:52] haduki_09: えっ
[0:17:52] 0_Shiina: 草
[0:17:52] orange3kp: 草
[0:17:53] nikkorikun: 草
[0:17:53] usa051: それわやばい
[0:17:53] yanshi0913: え
[0:17:53] ponpori: 草
[0:17:53] akikangg: 草
[0:17:53] mugnum0109new: 草
[0:17:54] yotuba0428: 草
[0:17:54] asaoka2016: 草
[0:17:54] kanae001: え
[0:17:54] syuguru0913: まじか
[0:17:55] arukuHOMOGODzilla810: え
[0:17:55] tositosi1011: 逝くんだよ
[0:17:56] aya_2525_Spla: 草
[0:17:56] わ29: さよならー（パズドラ感
[0:17:57] mgapdu: えぇ…
[0:17:57] mirumachan: 草
[0:17:57] ひろりーぬ: 草
[0:17:58] arukuHOMOGODzilla810: 草
[0:17:58] kanae001: 草
[0:17:58] yjusn114514: 草
[0:17:59] asaoka2016: もっと簡単にしろ
[0:17:59] tositosi1011: 草
[0:18:02] Aqution: 道がいるんちゃう？・。・？
[0:18:03] ポフロン: 草
[0:18:04] わ29: えぇ...
[0:18:05] amuru007: 五年も同じアスレやってるのにアスレクリアできないの？
[0:18:06] totasu9: もっと接待設計にしろ
[0:18:07] akikangg: ええやん
[0:18:07] yozakusa: 柵がムズイと思う
[0:18:09] nikkorikun: 実況者が誰かによる
[0:18:10] yjusn114514: こんちゃん可愛すぎか？
[0:18:11] taguryou0815: まじか
[0:18:12] レッドオーブ7: 青鬼ブロックの所氷にしてもおかしくないのでは・・・
[0:18:13] まみゃ: 初心者に柵ジャンプは難関だよ
[0:18:13] kizi_c: それ以上簡単にするって
[0:18:16] わ29: 一本道でいいんでね？
[0:18:17] しまやん: もうフラットにしちまえ
[0:18:17] syuguru0913: 何それ可愛い
[0:18:18] akikangg: 草
[0:18:21] 0_Shiina: アスレ苦手勢にやらせてみては？
[0:18:21] dondon3021: 50m走でいいじゃん
[0:18:21] VA__LO__: 飛び石一回でええやろ
[0:18:22] でどすた: じゃあダメやん
[0:18:22] meruizu: 横に超イージーモード付けとこ
[0:18:25] teto_gbf: フェンスじゃなくて氷にしたら？
[0:18:26] mirumachan: こんちゃん、青脱のクリアできたの？
[0:18:26] Yuu6210_blue: 柵は初心者にとって難しい
[0:18:27] アスかル: そこ、れうさんがいいんじゃ
[0:18:27] dante56565: 初心者にフェンスはきつい
[0:18:28] tositosi1011: こんちゃんかす過ぎて草
[0:18:29] asaoka2016: 橋作れ
[0:18:30] amuru007: レウさんじゃないの？
[0:18:30] takoyaki_0911: 柵に乗るのがむずいんちゃう？
[0:18:30] 鞠乃ひよ: 迷路にしとこ…？
[0:18:31] おいよ: コラボ相手に一回やってもらえば？
[0:18:31] kensho_nogi: 一本道にしたれよ
[0:18:31] レッドオーブ7: じゃあもうゴールに梯子付けようぜ
[0:18:32] itonemushi: かわいいかよ
[0:18:35] akikangg: 4マス飛びでええやん
[0:18:37] taguryou0815: ソティスさんはお帰り下さい
[0:18:37] mugnum0109new: 柵➕カーペットがきついかも
[0:18:41] paya_ika: いまきたです！みなさんこんばんわ！！このデバックは誰でも参加可能ですか？
[0:18:42] usa051: 赤ちゃん視点みたい
[0:18:44] ピサロナイト: こんちゃんアスレだｍ、、、
[0:18:52] energy711: 運要素とかは？
[0:18:55] mugnum0109new: え
[0:18:55] まっちゃくんん: あっ
[0:18:57] わ29: じゃあそのアスレ歩くだけでよくね？
[0:18:58] Aqution: スプリント教えてあげて；；
[0:18:58] nikkorikun: あっ
[0:18:58] おいよ: あ
[0:18:59] kanae001: え
[0:19:00] aya_2525_Spla: え
[0:19:01] yozakusa: あ
[0:19:02] meruizu: あっ……
[0:19:04] VA__LO__: あ
[0:19:05] syuguru0913: え
[0:19:05] akikangg: 全部4マス飛びかはしごでええやん
[0:19:05] mgapdu: あ
[0:19:06] harutotoro: えっ
[0:19:06] でどすた: …
[0:19:07] 0_Shiina: あ
[0:19:07] haduki_09: えっ・・
[0:19:07] ariesusan: え
[0:19:07] mugnum0109new: てことは俺の予想違うわ
[0:19:08] takoyaki_0911: あ、今落ちたな？
[0:19:10] アスかル: おいよさんだ
[0:19:16] yanshi0913: おいよさんやん
[0:19:17] kizi_c: ５回に１回できるレベルが理想かな
[0:19:19] tositosi1011: あ
[0:19:22] yozakusa: おいよ様こ、こここここんばんはです
[0:19:24] mirumachan: らっだぁさん？！
[0:19:27] syuguru0913: あ
[0:19:28] nikkorikun: ふ○はやの確率なくなって草
[0:19:28] yjusn114514: もう残機無限でよくね？(ピースフル)
[0:19:30] めんおいしい: クリアできる前提で作んならアスレいらないでしょ
[0:19:31] まっちゃくんん: 生主編
[0:19:31] 0_Shiina: 建築勢かな相手さん
[0:19:32] mugnum0109new: 斜めの柵の2つの間に1つ柵追加したら？
[0:19:44] わ29: 草
[0:19:44] yozakusa: コナンw
[0:19:44] teto_gbf: 草
[0:19:45] mgapdu: コナンくん！？
[0:19:47] tarutaru210: 草
[0:19:47] nikkorikun: コナンくん！？
[0:19:48] VA__LO__: コナンくん！？
[0:19:48] totasu9: 草
[0:19:49] kanae001: 草
[0:19:49] mugnum0109new: @nikkorikun 俺し◯うとさんやと思ってたわ
[0:19:49] akikangg: しんいち
[0:19:51] yozakusa: 草
[0:19:52] でどすた: 密室事件
[0:19:54] わ29: 放置か？ｗ
[0:19:54] syuguru0913: あれ、新一さん？
[0:19:58] tositosi1011: うわー
[0:19:58] yjusn114514: コナンくんさん！？
[0:20:00] energy711: 自ら密室
[0:20:03] 0_Shiina: この事件は密室
[0:20:04] VA__LO__: 密室で何してたんや！
[0:20:09] nikkorikun: 持ち前の推理力で脱出しろ
[0:20:11] yozakusa: 事件の臭いがする
[0:20:13] ピサロナイト: 正直、あそこのアスレクリアできないってマイクラ年もやってない気がする
[0:20:14] akikangg: コナンくんジェットコースター乗らんの？
[0:20:16] even2015: хахахахаха
[0:20:40] ピサロナイト: あ
[0:20:40] yozakusa: あ
[0:20:41] nikkorikun: おじさん
[0:20:43] VA__LO__: おじさんがんばれー
[0:20:44] sugto: あ
[0:20:44] まっちゃくんん: はい
[0:20:44] 0_Shiina: あ
[0:20:44] muru1113: あ
[0:20:45] アスかル: トロッコ使ったアスレは？
[0:20:45] haduki_09: あ
[0:20:45] 空き缶222: あ
[0:20:46] mugnum0109new: デスカメラ
[0:20:46] nikkorikun: あ
[0:20:48] mgapdu: あ
[0:20:48] ariesusan: あ
[0:20:48] sugto: もう歳
[0:20:49] akikangg: 草
[0:20:49] meruizu: あ
[0:20:49] kizi_c: JK説再び
[0:20:50] yotuba0428: あ
[0:20:50] Loutlot: cheer100
[0:20:51] totasu9: あ
[0:20:52] nikkorikun: あすたろちゃん！？
[0:20:52] 0_Shiina: さすおじ
[0:20:53] わ29: おちゃめよってＪＫ
[0:20:54] VA__LO__: これはjk
[0:20:57] ピサロナイト: あすたろ叔父が凡ミスとか可愛いかよ
[0:20:57] akikangg: らっだぁのせい
[0:20:59] 空き缶222: これはjk
[0:21:00] totasu9: jk説再浮上
[0:21:01] kanae001: jk
[0:21:01] yjusn114514: これはjk
[0:21:02] まっちゃくんん: てんてー
[0:21:05] yozakusa: これはjk確定
[0:21:06] arukuHOMOGODzilla810: 人工知能も失敗するときあるからな
[0:21:06] dante56565: これはJK
[0:21:09] mgapdu: まあ歳が歳だしなぁ
[0:21:11] amuru007: jkかもしれないだろ
[0:21:18] いこまき: 顔がない
[0:21:20] akikangg: jk確
