[0:00:04] ピックちゅ: hi
[0:23:02] gomimusi0123: 明日人狼放送
[0:23:07] yanshi0913: おつー
[0:23:09] ハリネズミン: おっつぅ
[0:23:09] muru1113: おつ
[0:23:09] ilovecarpcarp: おつ
[0:23:10] raderfan: おっつう
[0:23:11] hotaru_0309: おつ
[0:23:15] あずまっくす: おつー
[0:23:17] mugnum0109new: おっつぅ
[0:23:23] そうちん: お前顔面何個あるんだよ
[0:23:46] watamiya09: 42歳が46歳やね
[0:24:04] raderfan: ガチャで３０連して爆死してもた
[0:24:10] muru1113: そっち
[0:24:15] gomimusi0123: こっち
[0:24:18] raderfan: ぼっち
[0:24:18] yanshi0913: ぼっち
[0:24:20] muru1113: どっち
[0:24:20] mugnum0109new: そっち
[0:24:21] hotaru_0309: マグマダイブすれば戻れるよ
[0:24:21] あずまっくす: ぼっち
[0:24:22] mugnum0109new: こっち
[0:24:25] ilovecarpcarp: ぼっち
[0:24:26] mugnum0109new: ぼっち
[0:24:26] muru1113: ぼっち；；
[0:24:32] ankwoun: ぼっち
[0:24:37] gomimusi0123: ；；
[0:24:37] mugnum0109new: ；；
[0:24:38] muru1113: これほんとすこ
[0:24:40] raderfan: ；；；
[0:24:41] ハリネズミン: はよいけ
[0:24:42] yuunonnou: 助ケロリ使えよ
[0:24:44] ankwoun: ;;
[0:24:52] yanshi0913: たまごっち
[0:25:10] ashurintamu: 久しぶりだな(´；Д；｀)
[0:25:50] muru1113: 超会議？
[0:25:57] mugnum0109new: 勧誘はされたんか？
[0:26:17] muru1113: ；；
[0:26:25] hotaru_0309: ;;
[0:26:29] あずまっくす: ；；
[0:26:32] mugnum0109new: ；；
[0:26:36] gomimusi0123: ；；
[0:27:07] muru1113: あー
[0:27:13] raderfan: かなしい
[0:27:15] yanshi0913: あーーね
[0:27:27] atami1555: つら
[0:27:32] ハリネズミン: キッズの期待を裏切るな
[0:27:33] ashurintamu: 呼ばれなかったやつが悪い
[0:28:03] yanshi0913: かなしー
[0:28:06] mugnum0109new: ；；
[0:28:09] muru1113: かなし
[0:28:12] gomimusi0123: ；；
[0:28:15] hotaru_0309: ; ;
[0:28:21] ilovecarpcarp: ；；
[0:28:33] muru1113: お前が穀した
[0:28:43] mugnum0109new: らっだぁGW中に何か放送する？
[0:29:01] muru1113: 一応運営陸上あった
[0:29:33] muru1113: 当たり前
[0:29:33] atami1555: そま？
[0:29:39] mugnum0109new: 陸上はらっだぁが高跳びやってほしい
[0:29:51] hotaru_0309: rader0000
[0:29:57] muru1113: こ
[0:30:00] ilovecarpcarp: こ
[0:30:11] nekotori222: こはダメ
[0:30:11] yanshi0913: こ
[0:30:36] ilovecarpcarp: ま？
[0:30:41] magune2siumu2: 今来た、わこらだ
[0:30:51] mugnum0109new: こん
[0:30:53] ilovecarpcarp: こん
[0:30:54] chosuuu: こここ
[0:30:55] gomimusi0123: こん
[0:30:55] あずまっくす: こん
[0:30:59] muru1113: こん
[0:31:01] hotaru_0309: こん
[0:31:19] magune2siumu2: コメントがあったけえ
[0:31:21] yanshi0913: らっだぁには関係ない
[0:32:14] mugnum0109new: 語録3巻
[0:32:20] hotaru_0309: 超会議
[0:32:20] muru1113: ミサイル
[0:32:29] yuunonnou: ミサイル
[0:32:31] ilovecarpcarp: キムジョンウン
[0:32:31] yanshi0913: はじめ
[0:32:48] magune2siumu2: 超会議、明日かー
[0:32:52] muru1113: ネズミ？
[0:32:52] sakurachiru3511: とらドラのOPいいよねー！
[0:33:42] yanshi0913: ただいまTwitter
[0:33:49] ハリネズミン: アイスカップだろ！？
[0:34:02] atami1555: おかかおにぎり
[0:34:10] あずまっくす: おかえりtwitch
[0:34:10] gomimusi0123: ツナマヨ
[0:34:12] ハリネズミン: おかえり
[0:34:17] hotaru_0309: おかえり
[0:34:22] gomimusi0123: おかえり
[0:34:22] muru1113: おかえり
[0:34:26] ilovecarpcarp: 爽が一番美味しいに決まってるだろ56すこ
[0:34:34] ilovecarpcarp: おかえりんご
[0:34:38] momoka728: わこらだ
[0:34:45] muru1113: パピコじゃないの？
[0:34:46] あずまっくす: 学生の頃ハーゲンダッツまとめ買いしてたな
[0:34:57] momoka728: 何時から始まったん？
[0:35:04] ashurintamu: ハーゲンダッツは別格だろ
[0:35:08] あずまっくす: 20時かな
[0:35:10] yanshi0913: らっだぁそういえばスマブラやるって言ってなかった？
[0:35:11] hotaru_0309: 爽美味しいよね
[0:35:12] muru1113: 4ね
[0:35:16] sakurachiru3511: わざわざ買いに行くのめんどくさい
[0:35:21] momoka728: ありがとうございます
[0:35:37] muru1113: ポッピングシャワー
[0:35:37] ilovecarpcarp: 爽が一番爽が一番爽が一番爽が一番爽が一番爽が一番
[0:35:53] ashurintamu: キャラメルリボンかストロベリーチーズケーキだな
[0:36:08] muru1113: ポッピングシャワーやから
[0:36:15] ハリネズミン: チョコミント
[0:36:22] momoka728: チョコミントすき
[0:36:29] nekotori222: 自分ポッピングシャワーかオレオかな
[0:36:49] junesixtwo: わかる
[0:36:54] atami1555: ポッピングシャワーしか頼んだことない
[0:36:55] muru1113: ええやん
[0:36:55] hotaru_0309: めっちゃわかる
[0:36:59] mugnum0109new: 中学のころの先生は31のトリプルでチョコミント×3ばっかり食べてたよ
[0:37:05] こばりん: チョコレート系美味しい
[0:37:06] sakurachiru3511: 人生チャレンジの連続やぞ
[0:37:20] junesixtwo: 結局美味しいのはバニラやで
[0:37:31] hotaru_0309: バニラ賛成
[0:37:35] muru1113: ポッピングシャワー食べたことないとか0.001割損してるよ
[0:37:37] gomimusi0123: 王道を征け
[0:37:53] muru1113: ある
[0:37:58] mugnum0109new: ある
[0:38:08] muru1113: いつもどうり
[0:38:13] mugnum0109new: 安定はしてる
[0:38:47] momoka728: ええよ
[0:38:48] muru1113: いいよ
[0:38:52] gomimusi0123: いいよ
[0:38:52] mugnum0109new: いいよ
[0:38:54] yanshi0913: さらっとやばいこと言うな
[0:38:58] yuunonnou: 代わり映えがない
[0:39:00] ilovecarpcarp: いいよ
[0:39:16] muru1113: 代わり映えないからリスナー減ってくんじゃね？
[0:39:29] ハリネズミン: ホリホリになる？
[0:39:50] muru1113: 家
[0:39:52] ankwoun: 大阪
[0:39:55] mugnum0109new: 実家
[0:40:04] ilovecarpcarp: 家
[0:40:08] momoka728: 猫カフェ行くw
[0:40:11] hotaru_0309: ヴァイオリンききにいくー
[0:40:15] ashurintamu: いえ
[0:40:25] bell_msvio: 受験勉強
[0:40:29] mugnum0109new: ；；
[0:40:30] muru1113: 社畜先輩
[0:40:42] ilovecarpcarp: 課題の山片付けんとなぁ
[0:40:54] muru1113: しろ
[0:40:59] mugnum0109new: やって
[0:41:01] ashurintamu: 行くわ
[0:41:08] muru1113: そしたら行く
[0:41:19] muru1113: は？
[0:41:28] ashurintamu: 氏ね
[0:41:31] ashurintamu: やれ
[0:41:32] muru1113: 20
[0:41:34] あずまっくす: 20
[0:41:40] hotaru_0309: 20
[0:41:45] ハリネズミン: おえっ
[0:41:49] mugnum0109new: 3分の20
[0:42:41] momoka728: >(
[0:42:45] milololon: ただいま～。戻りました
[0:42:50] mugnum0109new: おかえり
[0:42:52] hotaru_0309: おかえり
[0:42:55] ハリネズミン: おかえり
[0:43:00] ilovecarpcarp: おかえりんご
[0:43:08] ashurintamu: おかえりぃぃぃ
[0:43:09] ilovecarpcarp: ？
[0:43:12] milololon: 皆優しい; ;
[0:43:20] kawiwawre: 今北天満宮
[0:43:28] mugnum0109new: こん
[0:43:33] hotaru_0309: こん
[0:43:33] milololon: こん
[0:43:34] ashurintamu: こん
[0:43:34] ilovecarpcarp: こんこんキツネ
[0:43:36] muru1113: こん
[0:43:53] milololon: キョロちゃん！？
[0:44:35] kawiwawre: 姫サーのヲタ
[0:44:47] chosuuu: キョロ充とは、俺の事である。。。(´；ω；`)ｳｯ…
[0:44:51] milololon: サークル半年でやめたわ
[0:45:02] kawiwawre: 友達が新歓で逆レされた
[0:46:01] ルギウス: 土日放送ある？
[0:46:06] muru1113: ？
[0:46:12] milololon: いじめられるの間違いだろ
[0:46:19] kawiwawre: らっだぁ「関係代名詞とか分かんねぇわ大学生だけど」
[0:46:32] muru1113: 友達気分悪くなってたんだけど
[0:46:38] bell_msvio: そりゃ、いじめられてるで有名だろうな
[0:46:48] itsu0000: 過去の放送見れないのあるんだけど俺だけ？
[0:46:51] muru1113: 嘘乙
[0:46:59] ハリネズミン: スプラトゥーンでやられた時｢あんこ｣とか言うようになっちゃったんだけどどうしてくれるん？
[0:47:02] milololon: きm
[0:47:09] ilovecarpcarp: きも
[0:47:13] muru1113: それはきも
[0:47:30] mugnum0109new: そろそろ建築見に行ったら？
[0:47:43] ashurintamu: itsuさん 俺もある
[0:47:54] mugnum0109new: それあくび
[0:48:00] ハリネズミン: それあくび
[0:48:46] kawiwawre: 乳酸おばけ
[0:48:59] milololon: 分かる
[0:49:08] muru1113: 歳
[0:49:11] kawiwawre: ずっと勃つな
[0:49:24] milololon: 立ち仕事だから凄い痛い
[0:49:31] mugnum0109new: 草
[0:49:49] ayataka014: ぼい
[0:50:45] kawiwawre: ホモはせっかち
[0:51:33] bell_msvio: ちびはげ
[0:51:34] milololon: いつも帽子してるし…
[0:51:34] そうちん: お前ブロックそのまんま置くとラグくなるから捨てろ。4ね
[0:51:43] ilovecarpcarp: じゃぁはげ
[0:52:03] milololon: 持ってる
[0:52:06] muru1113: ある
[0:52:08] ilovecarpcarp: ある
[0:52:11] kawiwawre: 小学生並みの煽り耐性の無さ
[0:52:12] mugnum0109new: ある
[0:52:12] kamimami0000: あるだろ
[0:52:13] hotaru_0309: ある
[0:52:14] kawiwawre: ある
[0:52:22] あずまっくす: ないよ
[0:52:56] 299taitaimon: らっだぁ相談なんだが俺のあだ名「歩く人妻好きホモゴジラ」っていっつも呼ばれてんだぞ？しんどい。もう学校行きたくない助けて
[0:53:10] ハリネズミン: やば
[0:53:17] muru1113: やば
[0:53:21] kawiwawre: 人妻なのかホモなのかはっきりしろ
[0:53:27] ashurintamu: それなw
[0:53:29] mugnum0109new: それはやばい
[0:53:39] nekotori222: なにそれ！？
[0:53:51] ilovecarpcarp: あだ名ながっ
[0:53:54] 299taitaimon: らっだぁ助けて
[0:54:00] mugnum0109new: らっだぁツイッチのコメ見てるん？
[0:54:01] hotaru_0309: そんなに長いあだ名よく言うね
[0:54:07] あずまっくす: 温泉なら大分かな
[0:54:07] ハリネズミン: たまーに
[0:54:17] そうちん: 狩野英孝さん！？
[0:54:17] ankwoun: 和田アキ子さん！？
[0:54:24] ashurintamu: えいこう！？
[0:54:30] あずまっくす: おいリア充
[0:54:54] Loutlot: ない
[0:54:58] muru1113: 沈んでる
[0:55:03] そうちん: 彼女がやらせてくれない
[0:55:06] milololon: 別れました
[0:55:15] kawiwawre: GWは女の子たちとオフ会
[0:55:16] mugnum0109new: 俺の入った化学部の先輩の8割がオタクだった
[0:55:30] milololon: そうです
[0:55:37] mugnum0109new: まず出会ったことすらない
[0:55:50] kawiwawre: 理系はオタク多いってそれ1
[0:55:58] 299taitaimon: らっだぁガチ相談していい？
[0:56:15] hotaru_0309: らだ、ツイッチ見て
[0:56:17] muru1113: らっだぁこれはのれ
[0:56:24] kawiwawre: のったれや
[0:56:32] mugnum0109new: らっだぁ相談したれよ
[0:56:36] kawiwawre: おい、修也！
[0:56:50] kawiwawre: 福田ｧ!
[0:56:50] ilovecarpcarp: おい 福田！！！
[0:57:01] mugnum0109new: 福田！聞いてんのか！
[0:57:27] milololon: @merino_wool よくやるなその新卒
[0:57:41] あずまっくす: それな
[0:57:58] junesixtwo: マグマダイブ
[0:58:09] muru1113: よしきた
[0:58:12] kawiwawre: 福田許さねぇからな
[0:58:14] hotaru_0309: やっときた
[0:58:17] あずまっくす: 草
[0:58:20] kawiwawre: 草
[0:58:21] kamimami0000: おめ
[0:58:21] ilovecarpcarp: 良かったな
[0:58:26] ilovecarpcarp: 草
[0:58:28] そうちん: 草
[0:58:29] mugnum0109new: やっとや
[0:58:30] ashurintamu: おめでとうー
[0:58:32] kawiwawre: よかったな
[0:58:33] ankwoun: 草
[0:58:37] milololon: やっとか
[0:58:37] muru1113: よかった
[0:58:41] hotaru_0309: よかったね
[0:58:52] あずまっくす: おっめぇ
[0:59:00] kinakomothi0402: よかったね
[0:59:01] kawiwawre: らっだぁとタメはれる
[0:59:25] milololon: 迷子
[0:59:34] あずまっくす: gamemode3
[0:59:42] hotaru_0309: 草
[0:59:44] kawiwawre: ゴジラな
[0:59:49] 299taitaimon: 先輩に付けられました
[0:59:50] ankwoun: 確かにww
[0:59:55] milololon: 草
[0:59:58] kawiwawre: 先輩！？
[1:00:05] ilovecarpcarp: 先輩w
[1:00:06] muru1113: 歩くとられるだけやろ
[1:00:11] 299taitaimon: 先輩怖いっす
[1:00:17] mugnum0109new: も◯う先生がベイングローリー実況者対決始めたけどらっだぁやらんのか
[1:00:17] hotaru_0309: 先輩ひどい…
[1:00:21] 299taitaimon: 殺される
[1:00:25] mugnum0109new: 先輩なのか………
[1:00:32] ハリネズミン: もう開き直って同級生か同級生のお母さん抱いてこい
[1:00:34] kawiwawre: もこうはももテラと対戦決まってるから…
[1:00:47] kawiwawre: どう足掻いてもぼっち;;
[1:00:50] muru1113: 先輩もうちょいいいヤツないのか
[1:00:53] そうちん: いじめられてる前提は草
[1:00:59] kawiwawre: 痩せこけたメロンパン
[1:01:08] milololon: 学校行くのつらいなら適度にサボりなよ
[1:01:22] mugnum0109new: 人類史上最大最悪の絶望的オタク
[1:01:31] あずまっくす: 草
[1:01:33] nekotori222: 辰巳先生(カッパみたいなおばあちゃん先生)
[1:01:42] skoro4355: 鼻くそほじり虫はお前が悪いわ
[1:01:44] hongome39: 低学歴ボッチ豚
[1:02:08] mugnum0109new: 歪
[1:02:18] muru1113: ズーミン
[1:02:27] milololon: ズーミン; ;
[1:02:30] あずまっくす: ズーミンどした？
[1:02:31] ハリネズミン: 奇跡
[1:02:33] milololon: おい
[1:02:36] hotaru_0309: おい
[1:02:36] あずまっくす: おい
[1:02:37] muru1113: おい
[1:02:37] mugnum0109new: おい
[1:02:38] hongome39: おい
[1:02:40] nekotori222: おい
[1:02:44] ilovecarpcarp: おい
[1:03:09] ilovecarpcarp: ズーミンかわいいいいいいいい
[1:03:20] milololon: 歪
[1:03:20] muru1113: ズーミンかわいいいいいいいいい
[1:03:21] muru1113: おい
[1:03:32] ilovecarpcarp: 不正
